EN,EM,Description,Composition strategy,Attribute
common brand,👓👝👗👔©️,"[':glasses:', ':clutch_bag:', ':dress:', ':necktie:', ':copyright:']",Direct,COMMONNESS
common brand,👥💁🏻‍♀️👜,"[':busts_in_silhouette:', ':woman_tipping_hand_light_skin_tone:', ':handbag:']",Metaphorical,COMMONNESS
common brand,▶️🛒👛,"[':play_button:', ':shopping_cart:', ':purse:']",Metaphorical,COMMONNESS
common brand,🤲📱,"[':palms_up_together:', ':mobile_phone:']",Metaphorical,COMMONNESS
common brand,↘️↙️,"[':down-right_arrow:', ':down-left_arrow:']",Metaphorical,COMMONNESS
common brand,👥🧳👛💼🎒👜👥,"[':busts_in_silhouette:', ':luggage:', ':purse:', ':briefcase:', ':backpack:', ':handbag:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS
common brand,🛍️🛍️🔄,"[':shopping_bags:', ':shopping_bags:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS
heavy metal,🤘,[':sign_of_the_horns:'],Single,WEIGHT
heavy metal,🏋⚙️,"[':person_lifting_weights:', ':gear:']",Direct,WEIGHT
heavy metal,⚖️🔗,"[':balance_scale:', ':link:']",Metaphorical,WEIGHT
heavy metal,🏋🏻🛠️⚓🔗🔩⚔,"[':person_lifting_weights_light_skin_tone:', ':hammer_and_wrench:', ':anchor:', ':link:', ':nut_and_bolt:', ':crossed_swords:']",Direct,WEIGHT
heavy metal,⚒️⛓️,"[':hammer_and_pick:', ':chains:']",Semantic list,WEIGHT
heavy metal,😓🪨,"[':downcast_face_with_sweat:', ':rock:']",Metaphorical,WEIGHT
heavy metal,⚖️⚙️,"[':balance_scale:', ':gear:']",Metaphorical,WEIGHT
heavy load,📦📦📦📦📦📦📦📦📦✖️💯,"[':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':multiply:', ':hundred_points:']",Reduplication,WEIGHT
heavy load,🏋🎒,"[':person_lifting_weights:', ':backpack:']",Direct,WEIGHT
heavy load,🏋️‍♂️📦,"[':man_lifting_weights:', ':package:']",Direct,WEIGHT
heavy load,🏋🏻🚜🧳,"[':person_lifting_weights_light_skin_tone:', ':tractor:', ':luggage:']",Direct,WEIGHT
heavy load,💥🏋,"[':collision:', ':person_lifting_weights:']",Metaphorical,WEIGHT
heavy load,😓📦,"[':downcast_face_with_sweat:', ':package:']",Metaphorical,WEIGHT
heavy load,💪👛,"[':flexed_biceps:', ':purse:']",Metaphorical,WEIGHT
heavy fog,🌫️🌁✖️💯,"[':fog:', ':foggy:', ':multiply:', ':hundred_points:']",Metaphorical,THICKNESS
heavy fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS
heavy fog,🏋️‍♂️🌫️,"[':man_lifting_weights:', ':fog:']",Direct,THICKNESS
heavy fog,🌫️😶‍🌫,"[':fog:', ':face_in_clouds:']",Metaphorical,THICKNESS
heavy fog,🌫️🤨,"[':fog:', ':face_with_raised_eyebrow:']",Metaphorical,THICKNESS
heavy fog,😓😶‍🌫️,"[':downcast_face_with_sweat:', ':face_in_clouds:']",Metaphorical,THICKNESS
heavy fog,🌫️💨,"[':fog:', ':dashing_away:']",Metaphorical,THICKNESS
full game,💯🆓🎮,"[':hundred_points:', ':FREE_button:', ':video_game:']",Direct,COMPLETENESS
full game,🎯🏀,"[':bullseye:', ':basketball:']",Direct,COMPLETENESS
full game,🎮💯,"[':video_game:', ':hundred_points:']",Direct,COMPLETENESS
full game,🎮🏁,"[':video_game:', ':chequered_flag:']",Direct,COMPLETENESS
full game,👍🎮,"[':thumbs_up:', ':video_game:']",Direct,COMPLETENESS
full game,🕛👾,"[':twelve_o’clock:', ':alien_monster:']",Direct,COMPLETENESS
full game,🎮👬👬,"[':video_game:', ':men_holding_hands:', ':men_holding_hands:']",Metaphorical,COMPLETENESS
full auditorium,🎫🧑👨🧑‍🦱👩‍🦱🈵,"[':ticket:', ':person:', ':man:', ':person_curly_hair:', ':woman_curly_hair:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS
full auditorium,🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🕍,"[':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':synagogue:']",Reduplication,FULLNESS
full auditorium,👩‍💻👨‍💻🏫,"[':woman_technologist:', ':man_technologist:', ':school:']",Metaphorical,FULLNESS
full auditorium,❌🛸🏟,"[':cross_mark:', ':flying_saucer:', ':stadium:']",Direct,FULLNESS
full auditorium,🈵🏫,"[':Japanese_no_vacancy_button:', ':school:']",Direct,FULLNESS
full auditorium,⛽️🏫,"[':fuel_pump:', '', ':school:']",Direct,FULLNESS
full auditorium,🎟️🎟️🎭,"[':admission_tickets:', ':admission_tickets:', ':performing_arts:']",Metaphorical,FULLNESS
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY
full attention,👩🧐🤯,"[':woman:', ':face_with_monocle:', ':exploding_head:']",Metaphorical,INTEGRITY
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY
full attention,🤓👨‍💻👨‍🏫👨‍🎓,"[':nerd_face:', ':man_technologist:', ':man_teacher:', ':man_student:']",Semantic list,INTEGRITY
full attention,🧐✍️,"[':face_with_monocle:', ':writing_hand:']",Metaphorical,INTEGRITY
full attention,👨‍✈️,[':man_pilot:'],Single,INTEGRITY
full attention,🙋‍♂️🦻🏫,"[':man_raising_hand:', ':ear_with_hearing_aid:', ':school:']",Metaphorical,INTEGRITY
full glass,🥛➕🚰🚰🚰🚰🚰 🈵,"[':glass_of_milk:', ':plus:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS
full glass,🥛🈵,"[':glass_of_milk:', ':Japanese_no_vacancy_button:']",Direct,FULLNESS
full glass,💯🥛,"[':hundred_points:', ':glass_of_milk:']",Direct,FULLNESS
full glass,🚰🥛,"[':potable_water:', ':glass_of_milk:']",Metaphorical,FULLNESS
full glass,🚰✅,"[':potable_water:', ':check_mark_button:']",Direct,FULLNESS
full glass,🍺,[':beer_mug:'],Single,FULLNESS
full glass,🥛🥂,"[':glass_of_milk:', ':clinking_glasses:']",Semantic list,FULLNESS
full life,♥️👨‍👩‍👧‍👦💼💰💰💰💯,"[':heart_suit:', ':family_man_woman_girl_boy:', ':briefcase:', ':money_bag:', ':money_bag:', ':money_bag:', ':hundred_points:']",Metaphorical,FULLNESS
full life,🎑🏔️🌄,"[':moon_viewing_ceremony:', ':snow-capped_mountain:', ':sunrise_over_mountains:']",Semantic list,FULLNESS
full life,🥰☺️🏡,"[':smiling_face_with_hearts:', ':smiling_face:', ':house_with_garden:']",Metaphorical,FULLNESS
full life,🎉😊😌🤗🥳🤩,"[':party_popper:', ':smiling_face_with_smiling_eyes:', ':relieved_face:', ':smiling_face_with_open_hands:', ':partying_face:', ':star-struck:']",Metaphorical,FULLNESS
full life,😊♥️,"[':smiling_face_with_smiling_eyes:', ':heart_suit:']",Metaphorical,FULLNESS
full life,🥵🤣🥵🤣,"[':hot_face:', ':rolling_on_the_floor_laughing:', ':hot_face:', ':rolling_on_the_floor_laughing:']",Metaphorical,FULLNESS
full life,😆🥳💑,"[':grinning_squinting_face:', ':partying_face:', ':couple_with_heart:']",Direct,FULLNESS
little boy,👦,[':boy:'],Single,AGE
little boy,👦🧍,"[':boy:', ':person_standing:']",Semantic list,AGE
little boy,🤏👶👦,"[':pinching_hand:', ':baby:', ':boy:']",Direct,AGE
little boy,👦,[':boy:'],Single,AGE
little boy,👇🏻👦,"[':backhand_index_pointing_down_light_skin_tone:', ':boy:']",Direct,AGE
little boy,👦👈👶,"[':boy:', ':backhand_index_pointing_left:', ':baby:']",Metaphorical,AGE
little boy,👦🏻,[':boy_light_skin_tone:'],Single,AGE
little boy,🤏👦,"[':pinching_hand:', ':boy:']",Direct,AGE
little man,🧔‍♂️,[':man_beard:'],Single,STATURE
little man,🧍↕️🤏,"[':person_standing:', ':up-down_arrow:', ':pinching_hand:']",Direct,STATURE
little man,👦🧑‍🦰,"[':boy:', ':person_red_hair:']",Semantic list,STATURE
little man,🤏🧍‍♂️,"[':pinching_hand:', ':man_standing:']",Direct,STATURE
little man,👇🏻🚶‍♂️,"[':backhand_index_pointing_down_light_skin_tone:', ':man_walking:']",Direct,STATURE
little man,💪👦,"[':flexed_biceps:', ':boy:']",Metaphorical,STATURE
little man,🤏🏻👨🏻,"[':pinching_hand_light_skin_tone:', ':man_light_skin_tone:']",Direct,STATURE
little man,🤏👱‍♂️,"[':pinching_hand:', ':man_blond_hair:']",Direct,STATURE
little house,🏠,[':house:'],Single,SIZE
little house,🏠↕️🤏,"[':house:', ':up-down_arrow:', ':pinching_hand:']",Direct,SIZE
little house,🏠🔽,"[':house:', ':downwards_button:']",Direct,SIZE
little house,🤏🏡,"[':pinching_hand:', ':house_with_garden:']",Direct,SIZE
little house,🖼🏡,"[':framed_picture:', ':house_with_garden:']",Direct,SIZE
little house,🏚️,[':derelict_house:'],Single,SIZE
little house,🤏🏻🏠,"[':pinching_hand_light_skin_tone:', ':house:']",Direct,SIZE
little house,🤏🏠,"[':pinching_hand:', ':house:']",Direct,SIZE
ample food,🍔🌭🌮😊,"[':hamburger:', ':hot_dog:', ':taco:', ':smiling_face_with_smiling_eyes:']",Metaphorical,QUANTITY
ample food,👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧🍽️💯,"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':fork_and_knife_with_plate:', ':hundred_points:']",Metaphorical,QUANTITY
ample food,🍙🍚🍘🍜,"[':rice_ball:', ':cooked_rice:', ':rice_cracker:', ':steaming_bowl:']",Semantic list,QUANTITY
ample food,🥖🥞🥫🍛🍲,"[':baguette_bread:', ':pancakes:', ':canned_food:', ':curry_rice:', ':pot_of_food:']",Semantic list,QUANTITY
ample food,👌🏻🍽🍎,"[':OK_hand_light_skin_tone:', ':fork_and_knife_with_plate:', ':red_apple:']",Metaphorical,QUANTITY
ample food,🍏🍎🍐🍊🥔🍠🥐🥯🍞🫓🍑🥥🥝,"[':green_apple:', ':red_apple:', ':pear:', ':tangerine:', ':potato:', ':roasted_sweet_potato:', ':croissant:', ':bagel:', ':bread:', ':flatbread:', ':peach:', ':coconut:', ':kiwi_fruit:']",Semantic list,QUANTITY
ample food,🍔🌭🌮🌯🥪🍕,"[':hamburger:', ':hot_dog:', ':taco:', ':burrito:', ':sandwich:', ':pizza:']",Semantic list,QUANTITY
ample food,👐😋,"[':open_hands:', ':face_savoring_food:']",Metaphorical,QUANTITY
ample supply,😊📈,"[':smiling_face_with_smiling_eyes:', ':chart_increasing:']",Metaphorical,SUFFICIENCY
ample supply,👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧📈,"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':chart_increasing:']",Metaphorical,SUFFICIENCY
ample supply,📉📋✅,"[':chart_decreasing:', ':clipboard:', ':check_mark_button:']",Metaphorical,SUFFICIENCY
ample supply,🍽✅️,"[':fork_and_knife_with_plate:', ':check_mark_button:', '']",Metaphorical,SUFFICIENCY
ample supply,👌🏻🔒,"[':OK_hand_light_skin_tone:', ':locked:']",Metaphorical,SUFFICIENCY
ample supply,🍏🍌🥐🌮🥪🥨🧀🥚🥞🥬🌶️🍢🧋🌰🍪🎂🥂🍨,"[':green_apple:', ':banana:', ':croissant:', ':taco:', ':sandwich:', ':pretzel:', ':cheese_wedge:', ':egg:', ':pancakes:', ':leafy_green:', ':hot_pepper:', ':oden:', ':bubble_tea:', ':chestnut:', ':cookie:', ':birthday_cake:', ':clinking_glasses:', ':ice_cream:']",Semantic list,SUFFICIENCY
ample supply,🙆🏻‍♀️📦,"[':woman_gesturing_OK_light_skin_tone:', ':package:']",Direct,SUFFICIENCY
ample supply,👐📈,"[':open_hands:', ':chart_increasing:']",Metaphorical,SUFFICIENCY
ample waistline,😊,[':smiling_face_with_smiling_eyes:'],Single,SIZE
ample waistline,🤰📈,"[':pregnant_woman:', ':chart_increasing:']",Metaphorical,SIZE
ample waistline,📏👖,"[':straight_ruler:', ':jeans:']",Metaphorical,SIZE
ample waistline,🍴🍴🍝🎅,"[':fork_and_knife:', ':fork_and_knife:', ':spaghetti:', ':Santa_Claus:']",Metaphorical,SIZE
ample waistline,🤌🏻👗,"[':pinched_fingers_light_skin_tone:', ':dress:']",Metaphorical,SIZE
ample waistline,💸🏦💵🪙💰💹🏧💲💳🤑,"[':money_with_wings:', ':bank:', ':dollar_banknote:', ':coin:', ':money_bag:', ':chart_increasing_with_yen:', ':ATM_sign:', ':heavy_dollar_sign:', ':credit_card:', ':money-mouth_face:']",Metaphorical,SIZE
ample waistline,🙆🏻‍♀️🩳,"[':woman_gesturing_OK_light_skin_tone:', ':shorts:']",Direct,SIZE
ample waistline,👐🤰,"[':open_hands:', ':pregnant_woman:']",Metaphorical,SIZE
puzzling statement,😵‍💫🤔,"[':face_with_spiral_eyes:', ':thinking_face:']",Semantic list,CLARITY
puzzling statement,💬❓❓😵‍💫,"[':speech_balloon:', ':red_question_mark:', ':red_question_mark:', ':face_with_spiral_eyes:']",Direct,CLARITY
puzzling statement,🗣️❓⁉️🤔🤷,"[':speaking_head:', ':red_question_mark:', ':exclamation_question_mark:', ':thinking_face:', ':person_shrugging:']",Metaphorical,CLARITY
puzzling statement,❓️❓️❓️❓️,"[':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '']",Reduplication,CLARITY
puzzling statement,🧐❓,"[':face_with_monocle:', ':red_question_mark:']",Metaphorical,CLARITY
puzzling statement,⁉️⁉️❓❔🤷‍♀️🤷🤷‍♂️,"[':exclamation_question_mark:', ':exclamation_question_mark:', ':red_question_mark:', ':white_question_mark:', ':woman_shrugging:', ':person_shrugging:', ':man_shrugging:']",Metaphorical,CLARITY
puzzling statement,😵‍💫🤨❓,"[':face_with_spiral_eyes:', ':face_with_raised_eyebrow:', ':red_question_mark:']",Metaphorical,CLARITY
puzzling statement,🤷‍♀️🗣️,"[':woman_shrugging:', ':speaking_head:']",Direct,CLARITY
remarkable sight,🤯🤩,"[':exploding_head:', ':star-struck:']",Direct,ORDINARINESS
remarkable sight,🤩🤯🎆,"[':star-struck:', ':exploding_head:', ':fireworks:']",Metaphorical,ORDINARINESS
remarkable sight,😲💯🥰👀,"[':astonished_face:', ':hundred_points:', ':smiling_face_with_hearts:', ':eyes:']",Direct,ORDINARINESS
remarkable sight,🏞👀✅️,"[':national_park:', ':eyes:', ':check_mark_button:', '']",Direct,ORDINARINESS
remarkable sight,🤩🏞,"[':star-struck:', ':national_park:']",Direct,ORDINARINESS
remarkable sight,👀🎑,"[':eyes:', ':moon_viewing_ceremony:']",Direct,ORDINARINESS
remarkable sight,🤩,[':star-struck:'],Single,ORDINARINESS
remarkable sight,👀🖼️,"[':eyes:', ':framed_picture:']",Direct,ORDINARINESS
dull mood,😑🥱,"[':expressionless_face:', ':yawning_face:']",Semantic list,DULLNESS
dull mood,😕😑😶,"[':confused_face:', ':expressionless_face:', ':face_without_mouth:']",Semantic list,DULLNESS
dull mood,😑🥱,"[':expressionless_face:', ':yawning_face:']",Semantic list,DULLNESS
dull mood,🥱😒,"[':yawning_face:', ':unamused_face:']",Semantic list,DULLNESS
dull mood,🥱😒,"[':yawning_face:', ':unamused_face:']",Semantic list,DULLNESS
dull mood,👎😤,"[':thumbs_down:', ':face_with_steam_from_nose:']",Direct,DULLNESS
dull mood,😔😪,"[':pensive_face:', ':sleepy_face:']",Semantic list,DULLNESS
dull mood,😓,[':downcast_face_with_sweat:'],Single,DULLNESS
dull play,😑🥱⚽,"[':expressionless_face:', ':yawning_face:', ':soccer_ball:']",Direct,INTEREST
dull play,😑🪅🧸,"[':expressionless_face:', ':pinata:', ':teddy_bear:']",Direct,INTEREST
dull play,🥱🎭,"[':yawning_face:', ':performing_arts:']",Direct,INTEREST
dull play,🥱🎭,"[':yawning_face:', ':performing_arts:']",Direct,INTEREST
dull play,😒⚽,"[':unamused_face:', ':soccer_ball:']",Direct,INTEREST
dull play,👎🏀,"[':thumbs_down:', ':basketball:']",Direct,INTEREST
dull play,😪🎮,"[':sleepy_face:', ':video_game:']",Direct,INTEREST
dull play,🎭😕,"[':performing_arts:', ':confused_face:']",Direct,INTEREST
dull sky,😑🥱🌫️,"[':expressionless_face:', ':yawning_face:', ':fog:']",Direct,LUMINOSITY
dull sky,🌥️🌧️🪟,"[':sun_behind_large_cloud:', ':cloud_with_rain:', ':window:']",Metaphorical,LUMINOSITY
dull sky,🌫,[':fog:'],Single,LUMINOSITY
dull sky,🌑🌃,"[':new_moon:', ':night_with_stars:']",Metaphorical,LUMINOSITY
dull sky,😒🌫️,"[':unamused_face:', ':fog:']",Direct,LUMINOSITY
dull sky,▪️⛈,"[':black_small_square:', ':cloud_with_lightning_and_rain:']",Metaphorical,LUMINOSITY
dull sky,🌩️🌫️,"[':cloud_with_lightning:', ':fog:']",Metaphorical,LUMINOSITY
dull sky,🌫️,[':fog:'],Single,LUMINOSITY
dull silver,🌫️🥈,"[':fog:', ':2nd_place_medal:']",Direct,LUMINOSITY
dull silver,🌫️🍴🥄,"[':fog:', ':fork_and_knife:', ':spoon:']",Direct,LUMINOSITY
dull silver,💍❌️🌟,"[':ring:', ':cross_mark:', '', ':glowing_star:']",Direct,LUMINOSITY
dull silver,🌑🥈,"[':new_moon:', ':2nd_place_medal:']",Direct,LUMINOSITY
dull silver,🥈⚙️🌑,"[':2nd_place_medal:', ':gear:', ':new_moon:']",Direct,LUMINOSITY
dull silver,▪️💍,"[':black_small_square:', ':ring:']",Direct,LUMINOSITY
dull silver,🥈😔,"[':2nd_place_medal:', ':pensive_face:']",Metaphorical,LUMINOSITY
dull silver,🌫️🪙,"[':fog:', ':coin:']",Direct,LUMINOSITY
dull day,😑🥱📆,"[':expressionless_face:', ':yawning_face:', ':tear-off_calendar:']",Direct,DULLNESS
dull day,🌥️🏙️,"[':sun_behind_large_cloud:', ':cityscape:']",Metaphorical,DULLNESS
dull day,😑📅,"[':expressionless_face:', ':calendar:']",Direct,DULLNESS
dull day,🌑🌚,"[':new_moon:', ':new_moon_face:']",Metaphorical,DULLNESS
dull day,🌫️🌥️,"[':fog:', ':sun_behind_large_cloud:']",Metaphorical,DULLNESS
dull day,👎🕦,"[':thumbs_down:', ':eleven-thirty:']",Metaphorical,DULLNESS
dull day,😥😟,"[':sad_but_relieved_face:', ':worried_face:']",Semantic list,DULLNESS
dull day,🌫️,[':fog:'],Single,DULLNESS
dull glow,🌫️🌟,"[':fog:', ':glowing_star:']",Direct,LUMINOSITY
dull glow,🌫️💡,"[':fog:', ':light_bulb:']",Direct,LUMINOSITY
dull glow,💡❌️🌟,"[':light_bulb:', ':cross_mark:', '', ':glowing_star:']",Direct,LUMINOSITY
dull glow,🌑🌟,"[':new_moon:', ':glowing_star:']",Direct,LUMINOSITY
dull glow,💡🕶️😒,"[':light_bulb:', ':sunglasses:', ':unamused_face:']",Metaphorical,LUMINOSITY
dull glow,👎🌟,"[':thumbs_down:', ':glowing_star:']",Direct,LUMINOSITY
dull glow,❌💡🕯️,"[':cross_mark:', ':light_bulb:', ':candle:']",Direct,LUMINOSITY
dull glow,🌫️⭐,"[':fog:', ':star:']",Direct,LUMINOSITY
cozy nook,😊🛏️,"[':smiling_face_with_smiling_eyes:', ':bed:']",Metaphorical,COMFORT
cozy nook,😌☺️☀️🌄,"[':relieved_face:', ':smiling_face:', ':sun:', ':sunrise_over_mountains:']",Metaphorical,COMFORT
cozy nook,🛋🥰,"[':couch_and_lamp:', ':smiling_face_with_hearts:']",Metaphorical,COMFORT
cozy nook,🥰🛋️,"[':smiling_face_with_hearts:', ':couch_and_lamp:']",Metaphorical,COMFORT
cozy nook,🛋️☕😌,"[':couch_and_lamp:', ':hot_beverage:', ':relieved_face:']",Metaphorical,COMFORT
cozy nook,😄,[':grinning_face_with_smiling_eyes:'],Single,COMFORT
cozy nook,🍁🍂🔥,"[':maple_leaf:', ':fallen_leaf:', ':fire:']",Metaphorical,COMFORT
cozy nook,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,COMFORT
cozy room,😊🏠,"[':smiling_face_with_smiling_eyes:', ':house:']",Direct,FRIENDLINESS
cozy room,😌🏠🏡🪟,"[':relieved_face:', ':house:', ':house_with_garden:', ':window:']",Direct,FRIENDLINESS
cozy room,🛏🥰,"[':bed:', ':smiling_face_with_hearts:']",Metaphorical,FRIENDLINESS
cozy room,🥰🚪,"[':smiling_face_with_hearts:', ':door:']",Metaphorical,FRIENDLINESS
cozy room,🛋️☕🖥️,"[':couch_and_lamp:', ':hot_beverage:', ':desktop_computer:']",Metaphorical,FRIENDLINESS
cozy room,😄🛌,"[':grinning_face_with_smiling_eyes:', ':person_in_bed:']",Metaphorical,FRIENDLINESS
cozy room,🛏️🛋️💤🕯️,"[':bed:', ':couch_and_lamp:', ':zzz:', ':candle:']",Metaphorical,FRIENDLINESS
cozy room,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,FRIENDLINESS
low hill,↘️🏔️,"[':down-right_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT
low hill,👇⛰️,"[':backhand_index_pointing_down:', ':mountain:']",Direct,HEIGHT
low hill,⬇️🏔🏔,"[':down_arrow:', ':snow-capped_mountain:', ':snow-capped_mountain:']",Direct,HEIGHT
low hill,↘️🏔️,"[':down-right_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT
low hill,🏔⬇️,"[':snow-capped_mountain:', ':down_arrow:']",Direct,HEIGHT
low hill,🏔️,[':snow-capped_mountain:'],Single,HEIGHT
low hill,⬇️🏔️,"[':down_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT
low hill,🔻🗻,"[':red_triangle_pointed_down:', ':mount_fuji:']",Direct,HEIGHT
low sun,↘️☀️,"[':down-right_arrow:', ':sun:']",Direct,HEIGHT
low sun,👇🌞,"[':backhand_index_pointing_down:', ':sun_with_face:']",Direct,HEIGHT
low sun,🌅🌅🌅,"[':sunrise:', ':sunrise:', ':sunrise:']",Reduplication,HEIGHT
low sun,↘️☀️🌞🌥️🔅,"[':down-right_arrow:', ':sun:', ':sun_with_face:', ':sun_behind_large_cloud:', ':dim_button:']",Metaphorical,HEIGHT
low sun,⬇️🔅,"[':down_arrow:', ':dim_button:']",Direct,HEIGHT
low sun,💧🧊❄️,"[':droplet:', ':ice:', ':snowflake:']",Metaphorical,HEIGHT
low sun,📉☀️,"[':chart_decreasing:', ':sun:']",Direct,HEIGHT
low sun,🔻☀️,"[':red_triangle_pointed_down:', ':sun:']",Direct,HEIGHT
low supply,↘️📉,"[':down-right_arrow:', ':chart_decreasing:']",Metaphorical,QUANTITY
low supply,📉📦,"[':chart_decreasing:', ':package:']",Direct,QUANTITY
low supply,🙅‍♀️🙅‍♀️🙅‍♀️,"[':woman_gesturing_NO:', ':woman_gesturing_NO:', ':woman_gesturing_NO:']",Reduplication,QUANTITY
low supply,↘️👎🙁😦,"[':down-right_arrow:', ':thumbs_down:', ':slightly_frowning_face:', ':frowning_face_with_open_mouth:']",Metaphorical,QUANTITY
low supply,⬇️📉,"[':down_arrow:', ':chart_decreasing:']",Metaphorical,QUANTITY
low supply,😱🛍️🛒,"[':face_screaming_in_fear:', ':shopping_bags:', ':shopping_cart:']",Metaphorical,QUANTITY
low supply,⬇️0️⃣,"[':down_arrow:', ':keycap_0:']",Metaphorical,QUANTITY
low supply,🔻📦,"[':red_triangle_pointed_down:', ':package:']",Direct,QUANTITY
low cloud,↘️☁️,"[':down-right_arrow:', ':cloud:']",Direct,HEIGHT
low cloud,👇☁️,"[':backhand_index_pointing_down:', ':cloud:']",Direct,HEIGHT
low cloud,☁️🌁,"[':cloud:', ':foggy:']",Metaphorical,HEIGHT
low cloud,↘️ 🌫️,"[':down-right_arrow:', ':fog:']",Direct,HEIGHT
low cloud,⬇️☁️,"[':down_arrow:', ':cloud:']",Direct,HEIGHT
low cloud,☁️🌥️,"[':cloud:', ':sun_behind_large_cloud:']",Metaphorical,HEIGHT
low cloud,❌☁️,"[':cross_mark:', ':cloud:']",Direct,HEIGHT
low cloud,🔻☁️,"[':red_triangle_pointed_down:', ':cloud:']",Direct,HEIGHT
low ceiling,↘️🏠,"[':down-right_arrow:', ':house:']",Direct,HEIGHT
low ceiling,👇🏠,"[':backhand_index_pointing_down:', ':house:']",Direct,HEIGHT
low ceiling,📉📉,"[':chart_decreasing:', ':chart_decreasing:']",Reduplication,HEIGHT
low ceiling,↘️ 🏘️,"[':down-right_arrow:', ':houses:']",Direct,HEIGHT
low ceiling,⬇️🔝,"[':down_arrow:', ':TOP_arrow:']",Direct,HEIGHT
low ceiling,🏦,[':bank:'],Single,HEIGHT
low ceiling,🏠💥,"[':house:', ':collision:']",Direct,HEIGHT
low ceiling,🔻🏢,"[':red_triangle_pointed_down:', ':office_building:']",Direct,HEIGHT
low bow,↘️🙇‍♀️,"[':down-right_arrow:', ':woman_bowing:']",Direct,HEIGHT
low bow,🎀👇,"[':ribbon:', ':backhand_index_pointing_down:']",Metaphorical,HEIGHT
low bow,🙇‍♀️🙇🙇‍♂️,"[':woman_bowing:', ':person_bowing:', ':man_bowing:']",Semantic list,HEIGHT
low bow,↘️🙇🙇‍♀️🙇‍♂️,"[':down-right_arrow:', ':person_bowing:', ':woman_bowing:', ':man_bowing:']",Direct,HEIGHT
low bow,⬇️🙇‍♂️,"[':down_arrow:', ':man_bowing:']",Direct,HEIGHT
low bow,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT
low bow,🙇‍♀️🙇‍♂️,"[':woman_bowing:', ':man_bowing:']",Semantic list,HEIGHT
low bow,🔻🙇🏻‍♀️,"[':red_triangle_pointed_down:', ':woman_bowing_light_skin_tone:']",Direct,HEIGHT
low reservoir,↘️🏞️,"[':down-right_arrow:', ':national_park:']",Direct,DEGREE
low reservoir,🏞️⬇️,"[':national_park:', ':down_arrow:']",Direct,DEGREE
low reservoir,💦🚫🚫,"[':sweat_droplets:', ':prohibited:', ':prohibited:']",Metaphorical,DEGREE
low reservoir,↘️ 🗻,"[':down-right_arrow:', ':mount_fuji:']",Direct,DEGREE
low reservoir,⬇️🚣‍♀️🌊,"[':down_arrow:', ':woman_rowing_boat:', ':water_wave:']",Direct,DEGREE
low reservoir,🏞️🐊,"[':national_park:', ':crocodile:']",Metaphorical,DEGREE
low reservoir,🌛↘️,"[':first_quarter_moon_face:', ':down-right_arrow:']",Metaphorical,DEGREE
low reservoir,🔻🏞,"[':red_triangle_pointed_down:', ':national_park:']",Direct,DEGREE
low price,↘️🏷️,"[':down-right_arrow:', ':label:']",Direct,DEGREE
low price,📉💰💰,"[':chart_decreasing:', ':money_bag:', ':money_bag:']",Direct,DEGREE
low price,🤑🤑🤑🧧,"[':money-mouth_face:', ':money-mouth_face:', ':money-mouth_face:', ':red_envelope:']",Metaphorical,DEGREE
low price,↘️💲💸,"[':down-right_arrow:', ':heavy_dollar_sign:', ':money_with_wings:']",Direct,DEGREE
low price,⬇️🏷💲,"[':down_arrow:', ':label:', ':heavy_dollar_sign:']",Direct,DEGREE
low price,💲🤑🤑,"[':heavy_dollar_sign:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,DEGREE
low price,⬇️💲,"[':down_arrow:', ':heavy_dollar_sign:']",Direct,DEGREE
